aoi_id,aoi_role,target_year,item_id,selection_order,asset,source_href,local_path,sha256,width,height,crs,resolution_m,nodata,status
inambari_development,dataset_development,2018,S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517,1,SCL,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2018/08/28/S2A_MSIL2A_20180828T145721_N0212_R039_T19LCF_20201027T054517.SAFE/GRANULE/L2A_T19LCF_A016624_20180828T145854/IMG_DATA/R20m/T19LCF_20180828T145721_SCL_20m.tif,data\raw\sentinel2\inambari_development\2018\S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517\SCL_10m.tif,545a840134fe161a302f54c38c2a30db174cdf11db0f3dbeb6d41b3c219e2b59,1524,1335,EPSG:32719,10.0,255,acquired
inambari_development,dataset_development,2018,S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517,1,B02,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2018/08/28/S2A_MSIL2A_20180828T145721_N0212_R039_T19LCF_20201027T054517.SAFE/GRANULE/L2A_T19LCF_A016624_20180828T145854/IMG_DATA/R10m/T19LCF_20180828T145721_B02_10m.tif,data\raw\sentinel2\inambari_development\2018\S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517\B02_10m.tif,0945d72d45e5a4d63ba94421bf6f32b35fe2e1b1007eb0be31774b5f33fad5d7,1524,1335,EPSG:32719,10.0,0,acquired
inambari_development,dataset_development,2018,S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517,1,B03,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2018/08/28/S2A_MSIL2A_20180828T145721_N0212_R039_T19LCF_20201027T054517.SAFE/GRANULE/L2A_T19LCF_A016624_20180828T145854/IMG_DATA/R10m/T19LCF_20180828T145721_B03_10m.tif,data\raw\sentinel2\inambari_development\2018\S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517\B03_10m.tif,5c6881ff5e40f31e4f91a5170bb974b32b680034601a2a772c66e8f098e0eaaf,1524,1335,EPSG:32719,10.0,0,acquired
inambari_development,dataset_development,2018,S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517,1,B04,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2018/08/28/S2A_MSIL2A_20180828T145721_N0212_R039_T19LCF_20201027T054517.SAFE/GRANULE/L2A_T19LCF_A016624_20180828T145854/IMG_DATA/R10m/T19LCF_20180828T145721_B04_10m.tif,data\raw\sentinel2\inambari_development\2018\S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517\B04_10m.tif,b458c157e666d09b0f70c533901a0fc8682814c9284dd701446cf8bbb96e2b5e,1524,1335,EPSG:32719,10.0,0,acquired
inambari_development,dataset_development,2018,S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517,1,B08,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2018/08/28/S2A_MSIL2A_20180828T145721_N0212_R039_T19LCF_20201027T054517.SAFE/GRANULE/L2A_T19LCF_A016624_20180828T145854/IMG_DATA/R10m/T19LCF_20180828T145721_B08_10m.tif,data\raw\sentinel2\inambari_development\2018\S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517\B08_10m.tif,060ae0d2d07401b96a5b24f218ce5a57b90bbcc7dd81d09c34df25530c2c5aa5,1524,1335,EPSG:32719,10.0,0,acquired
inambari_development,dataset_development,2022,S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200,1,SCL,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2022/06/13/S2B_MSIL2A_20220613T145729_N0400_R039_T19LCF_20220614T100200.SAFE/GRANULE/L2A_T19LCF_A027521_20220613T145913/IMG_DATA/R20m/T19LCF_20220613T145729_SCL_20m.tif,data\raw\sentinel2\inambari_development\2022\S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200\SCL_10m.tif,bfc91dbae39452f9a36d856f4113e460b6e9d6f3a58d25ab6ca51f03d77ee5f4,1524,1335,EPSG:32719,10.0,255,acquired
inambari_development,dataset_development,2022,S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200,1,B02,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2022/06/13/S2B_MSIL2A_20220613T145729_N0400_R039_T19LCF_20220614T100200.SAFE/GRANULE/L2A_T19LCF_A027521_20220613T145913/IMG_DATA/R10m/T19LCF_20220613T145729_B02_10m.tif,data\raw\sentinel2\inambari_development\2022\S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200\B02_10m.tif,daa642ea2ea90a61e4356b54bf530b819fe78366c0b9d2a1a6bce86c12ee4faa,1524,1335,EPSG:32719,10.0,0,acquired
inambari_development,dataset_development,2022,S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200,1,B03,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2022/06/13/S2B_MSIL2A_20220613T145729_N0400_R039_T19LCF_20220614T100200.SAFE/GRANULE/L2A_T19LCF_A027521_20220613T145913/IMG_DATA/R10m/T19LCF_20220613T145729_B03_10m.tif,data\raw\sentinel2\inambari_development\2022\S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200\B03_10m.tif,d0e37b60aa406b429db97728d4d7767c28128a57eb9a69e7364edb59be952468,1524,1335,EPSG:32719,10.0,0,acquired
inambari_development,dataset_development,2022,S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200,1,B04,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2022/06/13/S2B_MSIL2A_20220613T145729_N0400_R039_T19LCF_20220614T100200.SAFE/GRANULE/L2A_T19LCF_A027521_20220613T145913/IMG_DATA/R10m/T19LCF_20220613T145729_B04_10m.tif,data\raw\sentinel2\inambari_development\2022\S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200\B04_10m.tif,f8de563d5ee4f78d72c441a5c3bc227f773f2f512a18deaffbdae39e7797b2ca,1524,1335,EPSG:32719,10.0,0,acquired
inambari_development,dataset_development,2022,S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200,1,B08,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/19/L/CF/2022/06/13/S2B_MSIL2A_20220613T145729_N0400_R039_T19LCF_20220614T100200.SAFE/GRANULE/L2A_T19LCF_A027521_20220613T145913/IMG_DATA/R10m/T19LCF_20220613T145729_B08_10m.tif,data\raw\sentinel2\inambari_development\2022\S2B_MSIL2A_20220613T145729_R039_T19LCF_20220614T100200\B08_10m.tif,4abbfe9c419852e3479ef38f8315911ebc1ea7aa51f71a13c0aa53ade5f4b519,1524,1335,EPSG:32719,10.0,0,acquired
