aoi_id,aoi_role,target_year,scene_count,item_ids,composite_path,valid_mask_path,width,height,crs,resolution_m,valid_pixel_count,aoi_pixel_count,valid_coverage_pct,sha256,status
huepetuhe_inference_area,inference_only,2018,1,S2A_MSIL2A_20180828T145721_R039_T19LCF_20201027T054517,data\processed\sentinel2_composites\huepetuhe_inference_area\sentinel2_2018_composite.tif,data\processed\sentinel2_composites\huepetuhe_inference_area\sentinel2_2018_valid_mask.tif,1528,1338,EPSG:32719,10.0,1996362,2016824,98.9854,a478fac34ca6572cb2b910cda6fedc1c6e45843c99e08c6dc08a480c17324d34,passed
huepetuhe_inference_area,inference_only,2022,1,S2B_MSIL2A_20220822T145729_R039_T19LCF_20240704T091633,data\processed\sentinel2_composites\huepetuhe_inference_area\sentinel2_2022_composite.tif,data\processed\sentinel2_composites\huepetuhe_inference_area\sentinel2_2022_valid_mask.tif,1528,1338,EPSG:32719,10.0,2016824,2016824,100.0,c5249653114379b5d73410cbf631cf73e18ed2330b7fec2a6152318cf97f1794,passed
